Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Башполченко,Захар,Григорійович,male,1958-07-02,Тестувальник,село Новоазовськ,"парк Лінія 45-та, буд. 091 кв. 101, Белз, 38121",074 816 80 34,leonperebyinis@example.org
Атрощенко,Михайлина,Данилівна,female,1964-07-03,Системний адміністратор,місто Хрустальний,"площа Студентський 2-й, буд. 4, Красноперекопськ, 77664",201-04-46,viktormalyshko@example.net
Михайличенко,Богодар,Костянтинович,male,1944-10-16,Інженер з якості,селище Берегове,"провулок Неплія, буд. 742 кв. 591, Збараж, 75948",068 565 32 50,vysochanvolodymyr@example.org
Ісаєнко,Охрім,Петрович,male,1945-06-12,Менеджер з маркетингу,хутір Гірське,"парк Дачний 2-й, буд. 5, Харків, 04339",040 51 65,ieva50@example.com
Нестеренко,Пантелеймон,Петрович,male,1943-12-09,Асистент керівника,селище Снятин,"проспект Чорноморський 7-й, буд. 92, Сватове, 91738",610-10-83,adamabramenko@example.org
Баклан,Ліза,Олексіївна,female,1974-05-25,Менеджер з закупівель,село Мар'їнка,"сквер Леха Качинського, буд. 9 кв. 6, Бердичів, 11250",356-65-45,mariiadziuba@example.org
Архипенко,Емілія,Борисівна,female,1996-03-09,Аудитор,село Середина-Буда,"провулок Черешнева, буд. 92 кв. 3, Петрово-Красносілля, 52313",+380 (89) 687-94-31,xpavlenko@example.com
Данчук,Тереза,Геннадіївна,female,1948-11-16,Програміст,місто Заставна,"площа Миколи Гефта, буд. 7 кв. 11, Мар'їнка, 64973",+380 21 379-67-67,nadamchuk@example.com
Фоменко,Орест,Євгенович,male,1960-10-18,Інженер з якості,хутір Перечин,"шосе Рівності 1-й, буд. 16, Дніпрорудне, 35164",+380 04 578 32 65,fedir45@example.net
Оберемко,Петро,Олегович,male,1996-03-18,Дизайнер,хутір Чернівці,"парк Теплична, буд. 6 кв. 8, Горішні Плавні, 82473",+380 61 931-56-76,dubasbohuslava@example.net
Забара,Венедикт,Володимирович,male,1973-03-22,Тестувальник,хутір Великі Мости,"шосе Ключовий 2-й, буд. 2 кв. 4, Старокостянтинів, 24211",452-38-13,zzabara@example.net
Ковпак,Панас,Борисович,male,1945-03-18,Менеджер з продажу,селище Жовті Води,"узвіз Амундсена, 1-й, буд. 1, Олександрія, 13122",462 38 46,vlokhedyta@example.net
Зарудний,Тарас,Ярославович,male,1977-04-22,Архітектор,хутір Сулимівка (Слов'янськ),"парк Теліги Олени, буд. 0, Суходільськ, 72381",+380 (63) 547-74-50,aleksandrenkosviatoslav@example.com
Приходько,Євген,Петрович,male,1982-02-03,Системний адміністратор,село Балаклія,"площа Грибоєдова, буд. 70 кв. 3, Городня, 59766",+380 87 617-81-44,tartymovych@example.org
Гриценко,Михайло,Юрійович,male,1978-06-08,Бухгалтер,місто Білицьке,"набережна Палія Семена, буд. 073 кв. 814, Рудки, 13366",076 344 25 50,feofan59@example.net
Токар,Іван,Остапович,male,1953-04-24,Архітектор,селище Городня,"узвіз Трамвайна, буд. 979, Середина-Буда, 18797",088 422-32-70,oonishchuk@example.net
Стець,Лесь,Юрійович,male,1956-11-12,Менеджер з продажу,село Київ,"шосе Індійська, буд. 8 кв. 6, Вишневе , 63825",076 253-27-54,tzubko@example.com
Ґоляш,Трохим,Вікторович,male,1951-11-15,Кадровий менеджер,селище Олевськ,"шосе Щоглова, буд. 6 кв. 35, Хорол , 03650",086 698 82 61,mariana01@example.net
Чумаченко,Галина,Юріївна,female,1943-08-06,Менеджер з продукту,місто Комарно,"парк Разумовська, буд. 726 кв. 497, Вишневе , 46067",047 831 94 17,danna27@example.net
Вишиваний,Соломон,Марківич,male,2004-06-12,Бухгалтер,селище Івано-Франківськ,"проспект Леваневського, буд. 3 кв. 3, Молочанськ, 41254",078 152 03 92,jdubas@example.org
Чумаченко,Роман,Тимофійович,male,1994-10-17,Офіс-менеджер,селище Бершадь,"площа Юрія Яновського, буд. 28 кв. 27, Брянка, 72950",+380 56 526-30-09,makar29@example.com
Цимбалюк,Степан,Марківич,male,1968-05-07,Тестувальник,хутір Богодухів,"парк Рожева, буд. 58 кв. 148, Вугледар, 90915",071 158 89 61,xfesenko@example.com
Засуха,Клавдія,Федорівна,female,2004-01-07,Кадровий менеджер,хутір Приморськ (Україна),"провулок Скляний 3-й, буд. 7, Городок, 20809",+380 40 501 66 41,havrylo46@example.com
Василевич,Роксолана,Остапівна,female,1993-12-15,Аналітик даних,селище Славута,"проспект Костанді, буд. 760 кв. 705, Армянськ, 31136",834 94 58,larysalavrenko@example.org
Чубай,Віолетта,Максимівна,female,1965-07-27,Фінансовий аналітик,хутір Немирів,"провулок Хутірський, буд. 6, Вишневе , 96315",+380 29 041-26-71,vladyslav14@example.net
Яковенко,Венедикт,Євгенович,male,1943-04-01,Аудитор,хутір Мар'їнка,"узвіз Софії Перовської, буд. 0 кв. 27, Соледар, 16630",048 551 50 08,qabramchuk@example.org
Асаула,Роман,Олександрович,male,1958-02-01,Менеджер з маркетингу,місто Скадовськ,"вулиця Шоста, буд. 96 кв. 99, Калуш, 80589",+380 15 311-04-16,andrusenkoiaroslav@example.net
Шаблій,Сніжана,Давидівна,female,1959-10-31,Інженер з якості,селище Славутич,"шосе Володимира Вінниченка, буд. 95, Керч, 33141",006 388-53-59,stefantovstolis@example.org
Гаврилюк,Ада,Василівна,female,1987-12-15,Копірайтер,хутір Шепетівка,"провулок Амбулаторна, буд. 41 кв. 334, Олешки, 99359",+380 99 292-63-84,balabanalla@example.net
Бабій,Алла,Костянтинівна,female,1981-03-08,Бухгалтер,хутір Новомосковськ,"вулиця Івахненка Петра, буд. 9 кв. 380, Білицьке, 37112",+380 55 341-95-67,valeriipavlenko@example.org
Титаренко,Олекса,Сергійович,male,1970-12-31,Дизайнер,хутір Білицьке,"проспект Перемоги, буд. 9 кв. 55, Олевськ, 38588",007 780-23-02,ivasylevych@example.org
Гречаник,Лілія,Павлівна,female,2004-08-08,Аудитор,село Добропілля,"вулиця Амурський 4-й, буд. 71 кв. 391, Кам'янець-Подільський, 45994",+380 74 115-57-46,zinkevychmakar@example.com
Дейнека,Пріска,Андріївна,female,1953-02-23,Фінансовий аналітик,селище Миколаївка ,"площа Теліги Олени, буд. 2 кв. 91, Житомир, 17791",624-31-69,milenadzyndra@example.net
Дзюба,Устим,Петрович,male,1938-04-30,Системний адміністратор,селище Добромиль,"узвіз Космонавтів, буд. 02 кв. 43, Герца, 97215",+380 41 168-27-39,tymofiireva@example.org
Жаліло,Тереза,Зеновіївна,female,1984-05-04,Кадровий менеджер,хутір Білогірськ,"парк Парашутний, буд. 36, Узин, 18506",660 92 50,allaiatsenko@example.com
Вишиваний,Руслан,Тарасович,male,1995-03-07,Копірайтер,хутір Вознесенівка,"площа Волниста, буд. 6 кв. 68, Баштанка, 97125",669-70-43,liudmylasavenko@example.com
Щириця,Опанас,Ярославович,male,2001-06-10,Бухгалтер,село Самбір,"площа Місячна, буд. 41, Судова Вишня, 93672",012 216-62-85,panteleimonmatiash@example.net
